n = 16777216 ints (64 MiB), 1048576 cache lines touched (64 B each)
stride   seconds      ns/elem     
1        0.0171       1.02        
2        0.0084       1.00        
4        0.0043       1.02        
8        0.0022       1.03        
16       0.0013       1.22        
32       0.0028       5.41        
64       0.0016       6.15        
128      0.0008       6.25        
256      0.0004       6.10        
512      0.0004       11.72       
1024     0.0002       11.78       
